ID , Area  , Perimetro          , Centroide_X        , Centroide_Y       , Orientacion          , BBox
  1,   18.0,  14.0              ,  36.0              , 114.5             , 0.0                  , "(112, 35, 118, 38)"
  2,   21.0,  16.0              ,  42.0              , 115.0             , 0.0                  , "(112, 41, 119, 44)"
  3,   23.0,  18.414213562373096,  42.43478260869565 , 127.52173913043478, -0.20629121271460563 , "(124, 41, 132, 45)"
  4,   12.0,  10.0              ,  29.5              , 130.0             , 1.5707963267948966   , "(129, 28, 132, 32)"
  5,   12.0,  10.0              ,  36.0              , 131.5             , 0.0                  , "(130, 35, 134, 38)"
  6,   18.0,  13.414213562373096,  43.833333333333336, 136.66666666666666, 1.2689216600961786   , "(135, 42, 139, 47)"
  7,   12.0,  10.0              ,  30.5              , 141.0             , 1.5707963267948966   , "(140, 29, 143, 33)"
  8,    9.0,   8.0              ,  94.0              , 142.0             , -0.7853981633974483  , "(141, 93, 144, 96)"
  9,   53.0,  39.27817459305203 , 153.37735849056602 , 150.77358490566039, -0.1069024590033572  , "(143, 149, 157, 158)"
 10,   12.0,  10.0              ,  43.5              , 147.0             , 1.5707963267948966   , "(146, 42, 149, 46)"
 11,   43.0,  32.31370849898477 ,  93.86046511627907 , 152.51162790697674, -1.0595523591908242  , "(149, 88, 157, 100)"
 12,   15.0,  12.0              ,  31.0              , 152.0             , 1.5707963267948966   , "(151, 29, 154, 34)"
 13,   21.0,  15.414213562373096,  44.285714285714285, 158.28571428571428, -1.3779558392102647  , "(157, 42, 161, 48)"
 14, 1135.0, 354.6101730552664  , 199.6669603524229  , 225.18942731277534, 0.007428079768345229 , "(157, 186, 280, 215)"
 15,   54.0,  37.48528137423857 ,  94.83333333333333 , 162.11111111111111, -1.2364335991410866  , "(159, 88, 167, 103)"
 16,   41.0,  27.656854249492383, 280.6829268292683  , 165.5609756097561 , -0.16042237877145937 , "(160, 278, 171, 284)"
 17,    9.0,   8.0              ,  30.0              , 163.0             , -0.7853981633974483  , "(162, 29, 165, 32)"
 18,    9.0,   8.0              ,  36.0              , 164.0             , -0.7853981633974483  , "(163, 35, 166, 38)"
 19,  208.0, 131.2842712474619  ,  96.98557692307692 , 182.66346153846155, 0.05431033081998893  , "(166, 91, 202, 104)"
 20,   51.0,  34.82842712474619 , 244.1764705882353  , 172.52941176470588, 0.35473371636559453  , "(166, 242, 178, 250)"
 21,   22.0,  15.414213562373096,  44.31818181818182 , 168.63636363636363, 1.3949803599162283   , "(167, 42, 171, 48)"
 22,   32.0,  23.242640687119284,  34.625            , 173.78125         , -1.3750106258441472  , "(171, 30, 177, 39)"
 23,   20.0,  14.0              ,  44.0              , 179.5             , 1.5707963267948966   , "(178, 42, 182, 47)"
 24,   46.0,  35.242640687119284, 281.0              , 182.5             , -0.12961320181182978 , "(178, 278, 188, 285)"
 25,   18.0,  14.0              ,  37.0              , 184.5             , 0.0                  , "(182, 36, 188, 39)"
 26,   21.0,  16.0              ,  45.0              , 190.0             , 1.5707963267948966   , "(189, 42, 192, 49)"
 27,  476.0, 157.01219330881975 , 394.22058823529414 , 227.9390756302521 , 0.0012013079927793266, "(193, 389, 258, 401)"
 28,   15.0,  12.0              ,  30.0              , 195.0             , 1.5707963267948966   , "(194, 28, 197, 33)"
 29,   59.0,  38.48528137423857 ,  41.59322033898305 , 198.64406779661016, 1.0385648792339914   , "(195, 36, 204, 48)"
 30,   22.0,  16.82842712474619 , 355.27272727272725 , 197.6818181818182 , -0.5880026035475675  , "(195, 353, 201, 358)"
 31,   49.0,  41.24264068711929 , 281.0              , 203.0             , 0.2587209062653279   , "(197, 278, 210, 285)"
 32,    9.0,   8.0              ,  93.0              , 202.0             , -0.7853981633974483  , "(201, 92, 204, 95)"
 33,   20.0,  17.449747468305834,  31.55             , 205.15            , -0.9575889779203873  , "(203, 29, 208, 35)"
 34,   41.0,  31.106601717798213, 354.5853658536585  , 206.26829268292684, -1.1888153580716587  , "(203, 349, 210, 361)"
 35,   15.0,  12.0              , 101.0              , 206.0             , 1.5707963267948966   , "(205, 99, 208, 104)"
 36,   12.0,  10.0              ,  37.0              , 207.5             , 0.0                  , "(206, 36, 210, 39)"
 37,   20.0,  14.0              ,  45.0              , 211.5             , 1.5707963267948966   , "(210, 43, 214, 48)"
